method,regime,num_cycles,density,samp_size,seed,d,num_nodes,threshold,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
lacerda,hard,5,0.5,1000,0,20,20,,0.0,0.7516778523489933,0.6047904191616766,1.0,0.753731343283582,66,0.5741935483870968,1.0,0.7295081967213115,,,,0.3952561100013554,13,3,5,0.6,1,1
lacerda,hard,5,0.5,1000,1,20,20,,0.0,0.7804878048780487,0.6234567901234568,0.971153846153846,0.7593984962406015,64,0.6115107913669064,0.9659090909090908,0.7488986784140969,,,,0.3960469600278884,9,6,5,0.8,1,1
lacerda,hard,5,0.5,1000,2,20,20,,0.0202275600505689,0.7551020408163265,0.6033519553072626,1.0,0.7526132404181185,71,0.5849056603773585,1.0,0.738095238095238,,,,0.4744824999943375,10,4,5,0.75,1,2
lacerda,hard,5,0.5,1000,3,20,20,,0.0,0.7640449438202247,0.5789473684210527,1.0,0.7333333333333334,72,0.5533333333333333,1.0,0.7124463519313305,,,,0.4374381289817393,9,4,5,0.8,1,1
lacerda,hard,5,0.5,1000,4,20,20,,0.0,0.7843137254901961,0.6490066225165563,1.0,0.7871485943775101,53,0.6268656716417911,1.0,0.7706422018348624,,,,0.5060991388745606,11,4,5,0.7,1,1
lacerda,hard,5,0.5,1000,5,20,20,,0.0229885057471264,0.8260869565217391,0.6569767441860465,1.0,0.7929824561403509,59,0.6577181208053692,1.0,0.7935222672064777,,,,0.4969878550618887,10,5,5,0.75,1,2
lacerda,hard,5,0.5,1000,6,20,20,,0.0,0.7142857142857143,0.5925925925925926,1.0,0.7441860465116279,66,0.5673758865248227,1.0,0.7239819004524888,,,,0.5496158110909164,9,5,5,0.8,1,1
lacerda,hard,5,0.5,1000,7,20,20,,0.0377468483567733,0.7678571428571428,0.6,1.0,0.7499999999999999,66,0.5782312925170068,1.0,0.7327586206896551,,,,0.487873766105622,11,4,5,0.7,1,3
lacerda,hard,5,0.5,1000,8,20,20,,0.0376850605652759,0.8372093023255813,0.673469387755102,1.0,0.8048780487804877,48,0.675,1.0,0.8059701492537313,,,,0.4594613299705088,7,6,5,0.9,1,2
lacerda,hard,5,0.5,1000,9,20,20,,0.0,0.7708333333333333,0.6283783783783784,1.0,0.7717842323651452,55,0.5939849624060151,1.0,0.7452830188679245,,,,0.4731054271105677,11,4,5,0.7,1,1
lacerda,hard,5,0.5,5000,0,20,20,,0.6183206106870229,0.9824561403508772,0.971153846153846,1.0,0.9853658536585366,3,0.967391304347826,1.0,0.9834254143646408,,,,0.3919269470497966,13,3,5,0.6,1,10
lacerda,hard,5,0.5,5000,1,20,20,,0.4187909686817189,0.9696969696969696,0.9629629629629628,1.0,0.981132075471698,4,0.9565217391304348,1.0,0.9777777777777776,,,,0.3870664997957647,9,6,5,0.8,1,4
lacerda,hard,5,0.5,5000,2,20,20,,0.5787631271878646,0.961038961038961,0.9473684210526316,1.0,0.972972972972973,6,0.9489795918367347,1.0,0.9738219895287958,,,,0.520009706960991,10,4,5,0.75,1,8
lacerda,hard,5,0.5,5000,3,20,20,,0.1465677179962894,0.9189189189189187,0.8918918918918919,1.0,0.9428571428571428,12,0.8829787234042553,1.0,0.9378531073446328,,,,0.5031001020688564,9,4,5,0.8,1,3
lacerda,hard,5,0.5,5000,4,20,20,,0.4485056976994195,0.975609756097561,0.98,1.0,0.98989898989899,2,0.9767441860465116,1.0,0.988235294117647,,,,0.3802877361886203,11,4,5,0.7,1,8
lacerda,hard,5,0.5,5000,5,20,20,,0.304225352112676,0.9870129870129868,0.982608695652174,1.0,0.9912280701754386,2,0.98989898989899,1.0,0.9949238578680204,,,,0.4740505209192633,10,5,5,0.75,1,6
lacerda,hard,5,0.5,5000,6,20,20,,1.0,1.0,0.9896907216494846,1.0,0.9948186528497408,1,0.9876543209876544,1.0,0.9937888198757764,,,,0.4214809909462929,9,5,5,0.8,1,9
lacerda,hard,5,0.5,5000,7,20,20,,0.24,0.9662921348314606,0.9705882352941176,1.0,0.9850746268656716,3,0.9659090909090908,1.0,0.9826589595375724,,,,0.4439088699873537,11,4,5,0.7,1,6
lacerda,hard,5,0.5,5000,8,20,20,,0.62890625,0.972972972972973,0.9705882352941176,1.0,0.9850746268656716,3,0.9759036144578314,1.0,0.9878048780487804,,,,0.443472933024168,7,6,5,0.9,1,6
