regime,n,seed,method,ari,exact,partition_exact,ica_runtime_sec,selection_runtime_sec,total_runtime_sec,cap_hit,timed_out,completed,selection_share,selection_over_ica,selection_dominates
unstable,50000,4,enum_uniform_random,1.0,1.0,1.0,0.058661250048317015,18.468134074367118,18.526795324415435,False,False,True,0.9968337076638931,314.82680746072793,True
unstable,50000,4,ours,1.0,1.0,1.0,0.058661250048317015,4.258297849446535e-05,0.05870383302681148,False,False,True,0.0007253866791801596,0.000725913246979759,False
unstable,50000,5,arbitrary_control,0.0,0.0,0.0,0.07939395902212709,3.1408388167619705e-05,0.07942536741029471,False,False,True,0.00039544529904873577,0.00039560173789628236,False
unstable,50000,5,enum_first_stable,0.8397976391231029,0.0,0.0,0.07939395902212709,2.5195504590519704,2.5989444180740975,False,False,True,0.9694514594194513,31.734788012646803,True
unstable,50000,5,enum_uniform_random,0.9359190556492412,0.6,0.6,0.07939395902212709,2.5195497750188225,2.5989437340409496,False,False,True,0.9694514513791793,31.734779396964246,True
unstable,50000,5,ours,1.0,1.0,1.0,0.07939395902212709,3.858399577438831e-05,0.07943254301790148,False,False,True,0.0004857454427172595,0.0004859815060190531,False
unstable,50000,6,arbitrary_control,0.0,0.0,0.0,0.06692337500862777,2.6299792807549238e-05,0.06694967480143532,False,False,True,0.000392829283869582,0.0003929836593590605,False
unstable,50000,6,enum_first_stable,1.0,1.0,1.0,0.06692337500862777,2.1968807919765823,2.26380416698521,False,False,True,0.9704376482804375,32.826808147278285,True
unstable,50000,6,enum_uniform_random,1.0,1.0,1.0,0.06692337500862777,2.196883900789544,2.2638072757981718,False,False,True,0.9704376888774545,32.82685460059839,True
unstable,50000,6,ours,1.0,1.0,1.0,0.06692337500862777,4.616699879989028e-05,0.06696954200742766,False,False,True,0.0006893730704440213,0.000689848633514649,False
unstable,50000,7,arbitrary_control,0.0,0.0,0.0,0.054905999975744635,3.098341403529048e-05,0.054936983389779925,False,False,True,0.0005639809855496072,0.0005642992395908965,False
